iter	Passed	Remaining
662	1718	873
663	1722	871
664	1727	870
665	1730	867
666	1734	865
667	1738	864
668	1744	863
669	1748	861
670	1753	859
671	1757	858
672	1762	856
673	1766	854
674	1769	851
675	1774	850
676	1777	848
677	1780	845
678	1783	843
679	1787	841
680	1791	839
681	1794	836
682	1797	834
683	1804	833
684	1809	832
685	1816	831
686	1824	831
687	1827	828
688	1832	827
689	1840	826
690	1844	824
691	1846	822
692	1850	819
693	1854	817
694	1857	814
695	1860	812
696	1863	810
697	1867	807
698	1871	805
699	1874	803
700	1878	801
701	1881	798
702	1884	796
703	1888	793
704	1891	791
705	1895	789
706	1898	786
707	1902	784
708	1904	781
709	1908	779
710	1911	776
711	1914	774
712	1917	771
713	1920	769
714	1923	766
715	1925	763
716	1928	761
717	1931	758
718	1934	755
719	1937	753
720	1940	750
721	1943	748
722	1946	745
723	1949	743
724	1952	740
725	1955	738
726	1959	735
727	1962	733
728	1965	730
729	1967	727
730	1970	725
731	1973	722
732	1976	720
733	1980	717
734	1983	715
735	1986	712
736	1988	709
737	1992	707
738	1995	704
739	2000	702
740	2004	700
741	2010	699
742	2016	697
743	2019	694
744	2022	692
745	2025	689
746	2029	687
747	2032	684
748	2035	682
749	2038	679
750	2041	677
751	2047	675
752	2050	672
753	2055	670
754	2058	667
755	2063	666
756	2069	664
757	2074	662
758	2080	660
759	2084	658
760	2088	655
761	2090	653
762	2094	650
763	2096	647
764	2098	644
765	2100	641
766	2103	638
767	2106	636
768	2108	633
769	2111	630
770	2113	627
771	2115	624
772	2117	621
773	2119	618
774	2122	616
775	2124	613
776	2128	610
777	2131	608
778	2134	605
779	2136	602
780	2138	599
781	2141	597
782	2143	594
783	2146	591
784	2148	588
785	2150	585
786	2153	582
787	2157	580
788	2159	577
789	2162	574
790	2164	571
791	2166	569
792	2168	566
793	2171	563
794	2174	560
795	2177	557
796	2179	555
797	2181	552
798	2183	549
799	2185	546
800	2188	543
801	2190	540
802	2193	538
803	2195	535
804	2197	532
805	2199	529
806	2202	526
807	2205	523
808	2207	521
809	2209	518
810	2211	515
811	2213	512
812	2215	509
813	2217	506
814	2220	504
815	2222	501
816	2225	498
817	2227	495
818	2229	492
819	2231	489
820	2233	487
821	2236	484
822	2238	481
823	2241	478
824	2243	475
825	2245	473
826	2247	470
827	2249	467
828	2254	465
829	2256	462
830	2259	459
831	2261	456
832	2263	453
833	2265	450
834	2268	448
835	2270	445
836	2272	442
837	2274	439
838	2276	436
839	2278	433
840	2280	431
841	2283	428
842	2285	425
843	2287	422
844	2289	419
845	2291	417
846	2293	414
847	2296	411
848	2298	408
849	2300	406
850	2302	403
851	2304	400
852	2306	397
853	2308	394
854	2310	391
855	2313	389
856	2315	386
857	2318	383
858	2320	380
859	2322	378
860	2324	375
861	2326	372
862	2329	369
863	2332	367
864	2334	364
865	2336	361
866	2339	358
867	2341	356
868	2343	353
869	2346	350
870	2348	347
871	2350	345
872	2352	342
873	2355	339
874	2357	336
875	2359	333
876	2361	331
877	2363	328
878	2366	325
879	2368	322
880	2370	320
881	2372	317
882	2374	314
883	2376	311
884	2379	309
885	2381	306
886	2383	303
887	2385	300
888	2388	298
889	2390	295
890	2392	292
891	2395	289
892	2397	287
893	2399	284
894	2401	281
895	2403	278
896	2405	276
897	2407	273
898	2410	270
899	2412	268
900	2414	265
901	2416	262
902	2418	259
903	2420	257
904	2422	254
905	2424	251
906	2427	248
907	2429	246
908	2432	243
909	2434	240
910	2436	238
911	2438	235
912	2440	232
913	2443	229
914	2445	227
915	2447	224
916	2451	221
917	2453	219
918	2455	216
919	2457	213
920	2460	211
921	2462	208
922	2464	205
923	2466	202
924	2468	200
925	2470	197
926	2472	194
927	2474	192
928	2476	189
929	2478	186
930	2480	183
931	2482	181
932	2484	178
933	2486	175
934	2489	173
935	2491	170
936	2493	167
937	2495	164
938	2497	162
939	2499	159
940	2501	156
941	2503	154
942	2506	151
943	2508	148
944	2510	146
945	2512	143
946	2514	140
947	2516	138
948	2519	135
949	2521	132
950	2523	130
951	2525	127
952	2528	124
953	2530	122
954	2532	119
955	2534	116
956	2536	113
957	2539	111
958	2541	108
959	2543	105
960	2545	103
961	2548	100
962	2550	97
963	2553	95
964	2555	92
965	2557	90
966	2559	87
967	2561	84
968	2564	82
969	2566	79
970	2569	76
971	2571	74
972	2574	71
973	2577	68
974	2579	66
975	2581	63
976	2584	60
977	2586	58
978	2589	55
979	2591	52
980	2593	50
981	2595	47
982	2597	44
983	2599	42
984	2601	39
985	2603	36
986	2605	34
987	2607	31
988	2609	29
989	2611	26
990	2614	23
991	2616	21
992	2618	18
993	2620	15
994	2623	13
995	2625	10
996	2626	7
997	2628	5
998	2631	2
999	2633	0
